COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV007160,Cc1ccc(N2C3c4ccccc4N(S(=O)(=O)c4ccc(C)cc4)C2c2ccccc2N3S(=O)(=O)c2ccc(C)cc2)cc1,7.61,MMV,621.18,7.23,0,5,78.0,5
MMV006429,Cc1cc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)no1,7.48,MMV,409.15,4.62,1,5,75.44,5
MMV396703,CCN(CC)CCNc1ncnc2c1[nH]c1ccc(Cl)cc12,6.39,MMV,317.14,3.52,2,4,56.84,6
MMV006937,Cc1ccc(-c2cc3nc4c(c(O)n3n2)CCCC4)cc1,6.4,MMV,279.14,3.29,1,4,50.42,1
MMV085203,COc1ccccc1N=C1C(=O)c2ccccc2C(O)=C1N1CCCCC1,8.28,MMV,362.16,4.38,1,5,62.13,3
MMV665820,COc1ccc2c(=O)cc(C(Cl)(Cl)Cl)oc2c1,6.28,MMV,291.95,3.63,0,3,39.44,1
MMV665841,CCCc1cc(O)c2c3c(c(=O)oc2c1)CN(C)CC3,6.84,MMV,273.14,2.44,1,4,53.68,2
MMV007116,CCOC(=O)c1cnc2ccc(CC)cc2c1O,6.45,MMV,245.11,2.68,1,4,59.42,3
MMV007384,COc1ccc(-c2nc3cc(Cc4ccc5[nH]c(-c6ccc(OC)cc6)nc5c4)ccc3[nH]2)cc1,6.75,MMV,460.19,6.38,2,4,75.82,6
MMV020548,CCN1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1,6.44,MMV,413.22,4.11,2,4,64.26,5
MMV019258,COc1ccc(-n2ccnc2SCC(=O)Nc2cc(C)ccc2C)c(OC)c1,6.77,MMV,397.15,4.24,1,6,65.38,7
MMV007686,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1F,6.97,MMV,334.17,3.58,2,3,67.43,7
MMV011256,Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,6.67,MMV,327.05,3.85,1,5,55.11,2
MMV666693,COc1cccc(C=Cc2nc(=O)c3ccccc3o2)c1OC,7.62,MMV,309.1,3.38,0,5,61.56,4
MMV008956,CCOc1cc2c(cc1OCC)C(c1cc(OC)c(O)cc1Cl)NCC2,6.43,MMV,377.14,4.09,2,5,59.95,6
MMV665827,CCOC(=O)c1cn(CC)c2cc(N3CCCCC3)c(F)cc2c1=O,6.92,MMV,346.17,3.33,0,5,51.54,4
MMV001038,Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,6.37,MMV,308.16,3.39,3,5,70.07,5
MMV007839,COc1ccc2c(c1)OC(O)(C(F)(F)C(F)(F)F)CC2=O,6.55,MMV,312.04,2.55,1,4,55.76,2
MMV000662,COc1ccc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)cc1,7.44,MMV,434.17,5.33,1,4,58.64,6
MMV396678,O=C(CSc1nccn2nc(-c3ccccc3)cc12)Nc1cc(C(F)(F)F)ccc1Cl,6.66,MMV,462.05,5.8,1,5,59.29,5
MMV006861,c1ccc2cc3c(Nc4ccc(N5CCOCC5)cc4)ccnc3cc2c1,6.6,MMV,355.17,4.97,1,4,37.39,3
MMV006457,CCOC(=O)c1ccc2nc(-c3ccccc3)cc(O)c2c1,6.93,MMV,293.11,3.78,1,4,59.42,3
MMV396693,C[n+]1c2ccccc2nc2ccc(NCCO)cc21,6.53,MMV,254.13,1.62,2,3,49.03,3
MMV011567,COc1ccc(C(=O)Nc2nonc2-c2ccc(OC)c(OC)c2)cc1Cl,6.29,MMV,389.08,3.67,1,7,95.71,6
MMV007907,Cc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,6.46,MMV,267.08,4.26,1,4,37.81,3
MMV665805,CCOc1ccc(-c2nonc2NC(=O)c2cccc(C)c2)cc1OCC,6.93,MMV,367.15,4.09,1,6,86.48,7
MMV666021,Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,7.03,MMV,272.09,3.66,0,3,42.85,1
