COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV019881,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(C(=O)NC2CCN(Cc3ccccc3)CC2)cc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1,6.19,MMV,726.43,5.87,3,6,97.02,12
MMV000478,CCOc1cc2c(cc1OCC)C(c1cc(Cl)ccc1O)NCC2,6.13,MMV,347.13,4.08,2,4,50.72,5
MMV020403,COc1ccc(-c2cn3c(C(=O)Nc4ccccc4Cl)c(-c4ccccc4)c4c3n2CCCC4)cc1,,MMV,495.17,7.33,1,4,47.67,5
MMV007764,CCCCc1c(CCC)c(=N)c2ccccc2n1C,6.15,MMV,256.19,3.95,1,2,28.78,5
MMV665830,CC1CC2=C(CC1CNCCCN(C)C)C(C)(C)CCC2,6.0,MMV,292.29,4.08,1,2,15.27,6
MMV665886,CC(Oc1ccc(NC(=O)c2cccs2)cc1)C(=O)c1ccc(Cl)cc1,5.99,MMV,385.05,5.3,1,4,55.4,6
MMV396664,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)c3cc(OC)c(OC)c(OC)c3)cc12,6.21,MMV,489.18,5.36,0,8,85.22,8
MMV001239,COc1ccc2sc(N(Cc3cccnc3)C(=O)c3ccc(C#N)cc3)nc2c1,,MMV,400.1,4.42,0,6,79.11,5
MMV667491,COc1ccc(C2c3ccc4ccccc4c3Oc3ncn(CCCN(C)C)c(=N)c32)cc1,5.91,MMV,440.22,4.76,1,6,63.37,6
MMV006169,c1ccc(CNc2nc(Nc3ccccc3)nc3ccccc23)cc1,6.11,MMV,326.15,4.99,2,4,49.84,5
MMV086103,Cc1ccc(C(=O)c2oc3ccc4c(C)cc(=O)oc4c3c2C)cc1,6.04,MMV,332.1,4.7,0,4,60.42,2
MMV084434,COc1ccc(C=C2SC(Nc3ccc(F)cc3)=NC2=O)c(OC)c1,6.23,MMV,358.08,3.93,1,5,59.92,4
MMV666692,CCCCCCc1cc2cc(-c3csc(C=Cc4ccccc4)n3)c(=O)oc2cc1O,6.41,MMV,431.16,6.92,1,5,63.33,8
MMV665836,COc1ccc(C=C2SC(Nc3ccccc3)=NC2=O)cc1,6.26,MMV,310.08,3.78,1,4,50.69,3
MMV665881,COc1ccc(CNC(=O)c2cc3c(=O)n4ccccc4nc3n(CCc3ccccc3)c2=N)cc1,5.97,MMV,479.2,3.31,2,7,101.48,7
MMV665875,Cn1c(=O)n(C)c2cc(CNCCNc3ccnc4cc(Cl)ccc34)ccc21,6.26,MMV,395.15,3.28,2,6,63.88,6
MMV007020,CCOc1ccc2nc(C)cc(Nc3ccc(N(C)C)cc3)c2c1,5.4,MMV,321.18,4.75,1,4,37.39,5
MMV006656,CCOC(=O)C1=CN(C)C=C(C(=O)OCC)C1c1cc(Br)c(OCC)c(OC)c1,6.29,MMV,467.09,3.78,0,7,74.3,8
MMV396726,N#Cc1nc(Cc2cccc3ccccc23)oc1N1CCN(C(c2ccccc2)c2ccccc2)CC1,5.94,MMV,484.23,6.2,0,5,56.3,6
MMV006522,CCOc1ccc2nc(C)cc(Nc3ccc(Br)cc3)c2c1,6.32,MMV,356.05,5.45,1,3,34.15,4
MMV666686,COc1ccccc1C(=O)ON=C(N)Cc1cccc2ccccc12,6.09,MMV,334.13,3.52,1,4,73.91,5
