COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
AfroDb.981,C[C@@]12CCC(=O)[C@](C)(CO)[C@H]1CC[C@]13C(=O)[C@@H]4[C@H](C[C@@H]12)[C@@H]4C3=O,,AfroDb,316.17,1.78,1,4,71.44,1
AfroDb.982,O=C(O)c1ccc(O)c(O)c1,,AfroDb,154.03,0.8,3,3,77.76,1
AfroDb.983,O=Cc1ccc(O)c(O)c1,,AfroDb,138.03,0.91,2,3,57.53,1
AfroDb.984,C=C1C(=O)C[C@H]2C[C@H]3O[C@]3(C)CC[C@@H]3O[C@H]3C[C@@H](OC(C)=O)[C@H]1C2(C)C,,AfroDb,362.21,3.2,0,5,68.43,1
AfroDb.985,C=C1C(=O)C[C@H]2C[C@H]3O[C@]3(C)CC[C@@H]3O[C@H]3C[C@@H](O)[C@H]1C2(C)C,,AfroDb,320.2,2.63,1,4,62.36,0
AfroDb.986,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,,AfroDb,270.05,1.89,3,5,94.83,0
AfroDb.987,C=C[C@](C)(O)CC/C=C(\C)C[C@@H](/C=C/C(C)C)OC(C)=O,,AfroDb,294.22,4.18,1,3,46.53,9
AfroDb.989,CC1(C)CCc2cc(/C=C/C(=O)c3ccc(O)cc3O)ccc2O1,,AfroDb,324.14,4.1,2,4,66.76,3
AfroDb.990,C=C1CC[C@H]2[C@](C)(CCC[C@@]2(C)C(=O)O)[C@H]1Cc1c(C)ccc2c1C(=O)C(O)=C(C)C2=O,,AfroDb,436.22,5.61,2,4,91.67,3
AfroDb.991,CC(C)=CCC/C(=C/CC/C(C)=C/CC[C@@]1(C)C=Cc2cc(O)cc(C)c2O1)C(=O)O,,AfroDb,424.26,7.13,2,3,66.76,10
AfroDb.992,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,,AfroDb,284.07,2.88,2,5,79.9,2
AfroDb.993,CC[C@@H](CC[C@@H](C)[C@@H]1CC[C@H]2C[C@@]34CC=C5C[C@@H](O[C@@H]6O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@@H]3[C@H]4C[C@]21C)C(C)C,,AfroDb,588.44,5.85,4,6,99.38,9
AfroDb.994,CC[C@@H](CC[C@H](C)[C@@H]1CC[C@H]2C[C@@]34CC=C5CCCC[C@]5(C)[C@@H]3[C@H]4C[C@]21C)C(C)C,,AfroDb,410.39,9.05,0,0,0.0,6
AfroDb.995,CCCCCCCCCCCCCCCCC/C=C/[C@@H](O)C(=O)N[C@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCCCCCCC,,AfroDb,691.65,12.21,4,4,89.79,39
AfroDb.996,COC(=O)/C(=C\C[C@@H]1[C@@]2(CC[C@@H]3C(C)(C)[C@H](O)CC[C@@]31C)CO2)[C@@H]1CO1,,AfroDb,364.22,2.86,1,5,71.59,4
